Symbol,Name,Quantity
AAPL,APPLE INC,0.6031
ABBV,ABBVIE INC,0.073
AMAT,APPLIED MATLS INC,0.0328
AMD,ADVANCED MICRO DEVIC,0.0675
AMGN,AMGEN INC,0.0223
AMZN,AMAZON.COM INC,0.4457
ANET,ARISTA NETWORKS INC,0.0521
ARM,ARM HLDGS PLC ADR,0.0441
ASML,ASML HLDG N V ADR,0.0162
AVGO,BROADCOM INC,0.1966
AZN,ASTRAZENECA PLC,0.064
BABA,ALIBABA GROUP HLDG ADR,0.103
BHP,BHP GROUP LTD ADR,0.1049
CAT,CATERPILLAR INC,0.019
COST,COSTCO WHSL CORP,0.0183
CRWD,CROWDSTRIKE HLDGS A,0.0421
CSCO,CISCO SYS INC,0.1629
CVX,CHEVRON CORP,0.0816
DELL,DELL TECHNOLOGIES C,0.0267
GE,GE AEROSPACE,0.0429
GEV,GE VERNOVA INC,0.011
GOOGL,ALPHABET INC A,0.504
HD,HOME DEPOT INC,0.0412
IBM,IBM CORP,0.0389
INTC,INTEL CORP,0.2177
JNJ,JOHNSON & JOHNSON,0.0996
KLAC,KLA CORP,0.054
KO,COCA-COLA CO,0.1778
LIN,LINDE PLC,0.0191
LLY,ELI LILLY AND CO,0.0389
LRCX,LAM RESEARCH CORP,0.0517
META,META PLATFORMS INC A,0.1053
MRK,MERCK & CO INC,0.102
MSFT,MICROSOFT CORP,0.3068
MU,MICRON TECHNOLOGY INC,0.0467
NFLX,NETFLIX INC,0.1721
NVDA,NVIDIA CORP,1.0
NVS,NOVARTIS AG ADR,0.0788
ORCL,ORACLE CORP,0.119
PANW,PALO ALTO NETWORKS,0.0337
PG,PROCTER & GAMBLE CO,0.0961
PLTR,PALANTIR TECHNOLOGIES A,0.0993
PM,PHILIP MORRIS INTL,0.0644
RTX,RTX CORP,0.0557
SAP,SAP SE ADR,0.0504
SHEL,SHELL PLC ADR,0.1192
SKHY,SK HYNIX INC ADR,0.2087
SPCX,SPACE X TECH SPACEX A,0.5447
TM,TOYOTA MOTOR CORP ADR,0.049
TMO,THERMO FISHER SCIENTIFIC,0.0153
TSLA,TESLA INC,0.1636
TSM,TAIWAN SEMICONDUCTOR ADR,0.1896
TXN,TEXAS INSTRUMENTS INC,0.0377
UNH,UNITEDHEALTH GROUP INC,0.0375
WMT,WALMART INC,0.3289
XOM,EXXON MOBIL CORP,0.1699
