Symbol,Name,Quantity,Price,PriceDate,MarketValue,Weight
NVDA,NVIDIA CORP,1.0,230.36000061035156,2026-09-04,230.36000061035156,0.11601888482241204
AAPL,APPLE INC,0.60307,319.9700012207031,2026-09-04,192.96430863616942,0.09718485778424718
GOOGL,ALPHABET INC A,0.5043,338.4599914550781,2026-09-04,170.6853736907959,0.08596425880636564
MSFT,MICROSOFT CORP,0.30684,499.70001220703125,2026-09-04,153.32795174560547,0.07722233862865506
AMZN,AMAZON.COM INC,0.44572,258.510009765625,2026-09-04,115.22308155273437,0.058031139920692316
TSM,TAIWAN SEMICONDUCTOR ADR,0.18955,428.9100036621094,2026-09-04,81.29989119415283,0.040946009235707535
SPCX,SPACE X TECH SPACEX A,0.5447,147.9499969482422,2026-09-04,80.58836333770752,0.04058765419053414
AVGO,BROADCOM INC,0.19659,357.8999938964844,2026-09-04,70.35955980010986,0.035436002964820884
META,META PLATFORMS INC A,0.10527,616.77001953125,2026-09-04,64.9273799560547,0.03270013108605625
MU,MICRON TECHNOLOGY INC,0.04667,1016.5900268554688,2026-09-04,47.44425655334473,0.023894902422135697
TSLA,TESLA INC,0.12948,354.0799865722656,2026-09-04,45.846276661376955,0.02309009323415374
LLY,ELI LILLY AND CO,0.0389,1149.3599853515625,2026-09-04,44.71010343017578,0.022517869102795088
SKHY,SK HYNIX INC ADR,0.2309,177.0,2026-09-04,40.869299999999996,0.020583480625583628
WMT,WALMART INC,0.32885,107.13999938964844,2026-09-04,35.232988799285884,0.017744799698832768
AMD,ADVANCED MICRO DEVIC,0.06746,477.57000732421875,2026-09-04,32.2168726940918,0.01622575808530444
ASML,ASML HLDG N V ADR,0.01619,1714.8800048828125,2026-09-04,27.763907279052734,0.013983059351857808
JNJ,JOHNSON & JOHNSON,0.09958,275.2300109863281,2026-09-04,27.407404494018554,0.013803509710226616
XOM,EXXON MOBIL CORP,0.16991,159.47000122070312,2026-09-04,27.095547907409667,0.013646445752477776
INTC,INTEL CORP,0.20843,95.80000305175781,2026-09-04,19.96759463607788,0.010056511790787136
ORCL,ORACLE CORP,0.11903,158.77999877929688,2026-09-04,18.899583254699706,0.009518616804171254
ABBV,ABBVIE INC,0.07302,256.4599914550781,2026-09-04,18.726708576049806,0.009431549920259755
CSCO,CISCO SYS INC,0.16287,109.19999694824219,2026-09-04,17.785403502960204,0.00895746950452708
PLTR,PALANTIR TECHNOLOGIES A,0.0993,174.3300018310547,2026-09-04,17.31096918182373,0.008718524632527204
CVX,CHEVRON CORP,0.08164,208.60000610351562,2026-09-04,17.030104498291017,0.008577069487175895
COST,COSTCO WHSL CORP,0.01833,915.739990234375,2026-09-04,16.785514020996093,0.00845388354196513
LRCX,LAM RESEARCH CORP,0.05171,307.6499938964844,2026-09-04,15.908581184387208,0.008012223663957013
KO,COCA-COLA CO,0.17779,88.06999969482422,2026-09-04,15.657965245742798,0.007886003045606573
CAT,CATERPILLAR INC,0.01899,813.9400024414062,2026-09-04,15.456720646362305,0.0077846478887442895
MRK,MERCK & CO INC,0.10195,150.3300018310547,2026-09-04,15.326143686676025,0.007718883896705029
AMAT,APPLIED MATLS INC,0.03281,454.7099914550781,2026-09-04,14.919034819641112,0.007513846925748432
UNH,UNITEDHEALTH GROUP INC,0.03753,397.1400146484375,2026-09-04,14.90466474975586,0.007506609560413783
GE,GE AEROSPACE,0.04287,337.1199951171875,2026-09-04,14.452334190673827,0.007278797063032511
PG,PROCTER & GAMBLE CO,0.09605,146.44000244140625,2026-09-04,14.06556223449707,0.007084002606888575
DELL,DELL TECHNOLOGIES C,0.0267,524.1400146484375,2026-09-04,13.994538391113283,0.007048232043060845
NVS,NOVARTIS AG ADR,0.08419,159.99000549316406,2026-09-04,13.469558562469482,0.006783830349571798
NFLX,NETFLIX INC,0.17206,78.25,2026-09-04,13.463695,0.006780877215446978
HD,HOME DEPOT INC,0.0412,321.04998779296875,2026-09-04,13.227259497070312,0.006661798454769567
TM,TOYOTA MOTOR CORP ADR,0.05971,197.11000061035156,2026-09-04,11.76943813644409,0.005927578937136238
PM,PHILIP MORRIS INTL,0.06441,182.52999877929688,2026-09-04,11.75675722137451,0.005921192300476217
PANW,PALO ALTO NETWORKS,0.03368,333.260009765625,2026-09-04,11.224197128906251,0.005652972870603931
RTX,RTX CORP,0.05569,200.7899932861328,2026-09-04,11.181994726104737,0.0056317179839183735
ARM,ARM HLDGS PLC ADR,0.04413,252.08999633789062,2026-09-04,11.124731538391114,0.005602877859060289
BABA,ALIBABA GROUP HLDG ADR,0.0963,113.23999786376953,2026-09-04,10.905011794281005,0.0054922178503019154
SAP,SAP SE ADR,0.05044,215.11000061035156,2026-09-04,10.850148430786133,0.005464586376810784
