EffectiveDate,Symbol,Name,Quantity,SourceType,SourceSnapshotDate
2026-08-12,AAPL,APPLE INC,0.60307,Initial,
2026-08-12,ABBV,ABBVIE INC,0.07302,Initial,
2026-08-12,AMAT,APPLIED MATLS INC,0.03281,Initial,
2026-08-12,AMD,ADVANCED MICRO DEVIC,0.06746,Initial,
2026-08-12,AMGN,AMGEN INC,0.02234,Initial,
2026-08-12,AMZN,AMAZON.COM INC,0.44572,Initial,
2026-08-12,ANET,ARISTA NETWORKS INC,0.05212,Initial,
2026-08-12,ARM,ARM HLDGS PLC ADR,0.04413,Initial,
2026-08-12,ASML,ASML HLDG N V ADR,0.01619,Initial,
2026-08-12,AVGO,BROADCOM INC,0.19659,Initial,
2026-08-12,AZN,ASTRAZENECA PLC,0.06402,Initial,
2026-08-12,BABA,ALIBABA GROUP HLDG ADR,0.0963,Initial,
2026-08-12,BHP,BHP GROUP LTD ADR,0.10493,Initial,
2026-08-12,CAT,CATERPILLAR INC,0.01899,Initial,
2026-08-12,COST,COSTCO WHSL CORP,0.01833,Initial,
2026-08-12,CRWD,CROWDSTRIKE HLDGS A,0.04208,Initial,
2026-08-12,CSCO,CISCO SYS INC,0.16287,Initial,
2026-08-12,CVX,CHEVRON CORP,0.08164,Initial,
2026-08-12,DELL,DELL TECHNOLOGIES C,0.0267,Initial,
2026-08-12,GE,GE AEROSPACE,0.04287,Initial,
2026-08-12,GEV,GE VERNOVA INC,0.01101,Initial,
2026-08-12,GOOGL,ALPHABET INC A,0.5043,Initial,
2026-08-12,HD,HOME DEPOT INC,0.0412,Initial,
2026-08-12,IBM,IBM CORP,0.03893,Initial,
2026-08-12,INTC,INTEL CORP,0.20843,Initial,
2026-08-12,JNJ,JOHNSON & JOHNSON,0.09958,Initial,
2026-08-12,KLAC,KLA CORP,0.05399,Initial,
2026-08-12,KO,COCA-COLA CO,0.17779,Initial,
2026-08-12,LIN,LINDE PLC,0.01905,Initial,
2026-08-12,LLY,ELI LILLY AND CO,0.0389,Initial,
2026-08-12,LRCX,LAM RESEARCH CORP,0.05171,Initial,
2026-08-12,META,META PLATFORMS INC A,0.10527,Initial,
2026-08-12,MRK,MERCK & CO INC,0.10195,Initial,
2026-08-12,MSFT,MICROSOFT CORP,0.30684,Initial,
2026-08-12,MU,MICRON TECHNOLOGY INC,0.04667,Initial,
2026-08-12,NFLX,NETFLIX INC,0.17206,Initial,
2026-08-12,NVDA,NVIDIA CORP,1,Initial,
2026-08-12,NVS,NOVARTIS AG ADR,0.08419,Initial,
2026-08-12,ORCL,ORACLE CORP,0.11903,Initial,
2026-08-12,PANW,PALO ALTO NETWORKS,0.03368,Initial,
2026-08-12,PG,PROCTER & GAMBLE CO,0.09605,Initial,
2026-08-12,PLTR,PALANTIR TECHNOLOGIES A,0.0993,Initial,
2026-08-12,PM,PHILIP MORRIS INTL,0.06441,Initial,
2026-08-12,RTX,RTX CORP,0.05569,Initial,
2026-08-12,SAP,SAP SE ADR,0.05044,Initial,
2026-08-12,SHEL,SHELL PLC ADR,0.11348,Initial,
2026-08-12,SKHY,SK HYNIX INC ADR,0.2309,Initial,
2026-08-12,SPCX,SPACE X TECH SPACEX A,0.5447,Initial,
2026-08-12,TM,TOYOTA MOTOR CORP ADR,0.05971,Initial,
2026-08-12,TMO,THERMO FISHER SCIENTIFIC,0.01528,Initial,
2026-08-12,TSLA,TESLA INC,0.12948,Initial,
2026-08-12,TSM,TAIWAN SEMICONDUCTOR ADR,0.18955,Initial,
2026-08-12,TXN,TEXAS INSTRUMENTS INC,0.03774,Initial,
2026-08-12,UNH,UNITEDHEALTH GROUP INC,0.03753,Initial,
2026-08-12,WMT,WALMART INC,0.32885,Initial,
2026-08-12,XOM,EXXON MOBIL CORP,0.16991,Initial,
