Date,Value
1991-03-31,3.09
1991-06-30,3.17
1991-09-30,3.22
1991-12-31,3.28
1992-03-31,3.12
1992-06-30,3.06
1992-09-30,2.89
1992-12-31,2.79
1993-03-31,2.78
1993-06-30,2.67
1993-09-30,2.59
1993-12-31,2.44
1994-03-31,2.39
1994-06-30,2.26
1994-09-30,2.16
1994-12-31,2.06
1995-03-31,2.08
1995-06-30,2.11
1995-09-30,2.16
1995-12-31,2.17
1996-03-31,2.18
1996-06-30,2.26
1996-09-30,2.24
1996-12-31,2.33
1997-03-31,2.3
1997-06-30,2.28
1997-09-30,2.25
1997-12-31,2.21
1998-03-31,2.2
1998-06-30,2.13
1998-09-30,2.1
1998-12-31,2.03
1999-03-31,1.94
1999-06-30,1.88
1999-09-30,2.15
1999-12-31,1.99
2000-03-31,1.95
2000-06-30,1.98
2000-09-30,2.09
2000-12-31,2.23
2001-03-31,2.34
2001-06-30,2.41
2001-09-30,2.19
2001-12-31,2.26
2002-03-31,2.24
2002-06-30,2.16
2002-09-30,2.1
2002-12-31,1.99
2003-03-31,1.98
2003-06-30,1.83
2003-09-30,1.73
2003-12-31,1.77
2004-03-31,1.64
2004-06-30,1.6
2004-09-30,1.56
2004-12-31,1.41
2005-03-31,1.42
2005-06-30,1.55
2005-09-30,1.59
2005-12-31,1.64
2006-03-31,1.61
2006-06-30,1.62
2006-09-30,1.74
2006-12-31,1.92
2007-03-31,2.08
2007-06-30,2.29
2007-09-30,2.71
2007-12-31,3.1
2008-03-31,3.67
2008-06-30,4.36
2008-09-30,5.27
2008-12-31,6.59
2009-03-31,8.0
2009-06-30,8.58
2009-09-30,9.49
2009-12-31,10.41
2010-03-31,11.48
2010-06-30,11.08
2010-09-30,10.66
2010-12-31,10.33
2011-03-31,10.37
2011-06-30,10.55
2011-09-30,10.5
2011-12-31,10.25
2012-03-31,10.33
2012-06-30,10.45
2012-09-30,10.47
2012-12-31,10.03
2013-03-31,9.73
2013-06-30,9.31
2013-09-30,8.66
2013-12-31,8.29
2014-03-31,7.78
2014-06-30,7.43
2014-09-30,7.05
2014-12-31,6.52
2015-03-31,6.23
2015-06-30,5.81
2015-09-30,5.4
2015-12-31,5.12
2016-03-31,4.78
2016-06-30,4.58
2016-09-30,4.38
2016-12-31,4.14
2017-03-31,3.91
2017-06-30,3.68
2017-09-30,3.64
2017-12-31,3.57
2018-03-31,3.48
2018-06-30,3.22
2018-09-30,2.99
2018-12-31,2.83
2019-03-31,2.69
2019-06-30,2.6
2019-09-30,2.44
2019-12-31,2.34
2020-03-31,2.35
2020-06-30,2.54
2020-09-30,2.83
2020-12-31,2.75
2021-03-31,2.68
2021-06-30,2.47
2021-09-30,2.3
2021-12-31,2.29
2022-03-31,2.09
2022-06-30,1.95
2022-09-30,1.84
2022-12-31,1.79
2023-03-31,1.74
2023-06-30,1.72
2023-09-30,1.72
2023-12-31,1.7
2024-03-31,1.71
2024-06-30,1.73
2024-09-30,1.74
2024-12-31,1.78
2025-03-31,1.77
2025-06-30,1.78
2025-09-30,1.78
2025-12-31,1.79
2026-03-31,1.89
