Date,Value
2001-04-27,73.37
2001-05-04,77.28
2001-05-11,73.87
2001-05-18,80.3
2001-05-25,82.05
2001-06-01,64.02
2001-06-08,65.95
2001-06-15,59.71
2001-06-22,64.17
2001-06-29,68.12
2001-07-06,62.41
2001-07-13,65.9
2001-07-20,67.32
2001-07-27,70.12
2001-08-03,71.12
2001-08-10,68.05
2001-08-17,64.1
2001-08-24,66.93
2001-08-31,62.04
2001-09-07,56.73
2001-09-14,56.42
2001-09-21,46.3
2001-09-28,48.78
2001-10-05,50.18
2001-10-12,54.96
2001-10-19,55.47
2001-10-26,60.1
2001-11-02,62.27
2001-11-09,64.55
2001-11-16,66.42
2001-11-23,66.02
2001-11-30,66.93
2001-12-07,69.14
2001-12-14,66.44
2001-12-21,56.7
2001-12-28,51.93
2002-01-04,53.53
2002-01-11,52.22
2002-01-18,49.47
2002-01-25,49.79
2002-02-01,48.5
2002-02-08,45.15
2002-02-15,44.49
2002-02-22,41.69
2002-03-01,43.86
2002-03-08,47.09
2002-03-15,45.03
2002-03-22,44.26
2002-03-29,44.27
2002-04-05,42.15
2002-04-12,41.04
2002-04-19,41.99
2002-04-26,38.48
2002-05-03,36.25
2002-05-10,36.19
2002-05-17,40.04
2002-05-24,37.61
2002-05-31,35.95
2002-06-07,32.33
2002-06-14,31.64
2002-06-21,29.44
2002-06-28,30.21
2002-07-05,30.48
2002-07-12,28.64
2002-07-19,27.54
2002-07-26,26.6
2002-08-02,26.14
2002-08-09,27.31
2002-08-16,29.16
2002-08-23,29.44
2002-08-30,27.35
2002-09-06,26.77
2002-09-13,26.76
2002-09-20,25.35
2002-09-27,25.08
2002-10-04,23.91
2002-10-11,26.05
2002-10-18,28.52
2002-10-25,29.31
2002-11-01,29.7
2002-11-08,29.52
2002-11-15,31.11
2002-11-22,32.41
2002-11-29,32.33
2002-12-06,30.77
2002-12-13,28.85
2002-12-20,28.92
2002-12-27,27.73
2003-01-03,28.53
2003-01-10,29.66
2003-01-17,27.48
2003-01-24,26.64
2003-01-31,26.17
2003-02-07,25.27
2003-02-14,26.0
2003-02-21,26.62
2003-02-28,26.07
2003-03-07,25.3
2003-03-14,26.28
2003-03-21,27.56
2003-03-28,26.2
2003-04-04,26.29
2003-04-11,25.67
2003-04-18,27.07
2003-04-25,26.85
2003-05-02,27.91
2003-05-09,28.04
2003-05-16,28.05
2003-05-23,27.38
2003-05-30,28.85
2003-06-06,28.97
2003-06-13,28.4
2003-06-20,28.86
2003-06-27,28.39
2003-07-04,28.81
2003-07-11,29.87
2003-07-18,29.0
2003-07-25,29.2
2003-08-01,28.73
2003-08-08,27.29
2003-08-15,28.22
2003-08-22,29.31
2003-08-29,29.93
2003-09-05,30.07
2003-09-12,29.73
2003-09-19,30.29
2003-09-26,28.47
2003-10-03,29.61
2003-10-10,30.07
2003-10-17,29.31
2003-10-24,28.49
2003-10-31,29.34
2003-11-07,29.64
2003-11-14,28.74
2003-11-21,27.68
2003-11-28,28.77
2003-12-05,28.05
2003-12-12,28.13
2003-12-19,28.06
2003-12-26,28.14
2004-01-02,28.44
2004-01-09,29.55
2004-01-16,30.19
2004-01-23,29.76
2004-01-30,29.01
2004-02-06,29.13
2004-02-13,28.85
2004-02-20,28.8
2004-02-27,28.57
2004-03-05,28.62
2004-03-12,27.82
2004-03-19,27.18
2004-03-26,27.5
2004-04-02,28.96
2004-04-09,28.87
2004-04-16,28.16
2004-04-23,29.09
2004-04-30,27.23
2004-05-07,27.33
2004-05-14,27.2
2004-05-21,27.36
2004-05-28,28.49
2004-06-04,28.28
2004-06-11,28.79
