Date,Value
1990-06-29,14.08
1990-09-28,12.44
1990-12-31,13.9
1991-03-29,14.87
1991-06-28,15.26
1991-09-30,16.65
1991-12-31,18.97
1992-03-31,15.73
1992-06-30,16.04
1992-09-30,17.13
1992-12-31,18.17
1993-03-31,15.92
1993-06-30,16.14
1993-09-30,16.76
1993-12-31,17.45
1994-03-31,18.73
1994-06-30,14.59
1994-09-30,15.29
1994-12-30,15.39
1995-03-31,14.1
1995-06-30,15.03
1995-09-29,15.95
1995-12-29,16.99
1996-03-29,16.09
1996-06-28,15.88
1996-09-30,16.01
1996-12-31,16.68
1997-03-31,16.47
1997-06-30,19.03
1997-09-30,19.49
1997-12-31,19.93
1998-03-31,22.32
1998-06-30,22.94
1998-08-07,21.89
1998-08-14,21.35
1998-08-21,21.7
1998-08-28,20.74
1998-09-04,19.57
1998-09-11,20.23
1998-09-18,20.36
1998-09-25,20.9
1998-10-02,20.13
1998-10-09,19.7
1998-10-16,21.12
1998-10-23,21.37
1998-10-30,21.93
1998-11-06,22.72
1998-11-13,22.26
1998-11-20,23.01
1998-11-27,23.55
1998-12-04,23.24
1998-12-11,22.94
1998-12-18,23.31
1998-12-25,24.22
1999-01-01,24.13
1999-01-08,24.78
1999-01-15,24.04
1999-01-22,23.7
1999-01-29,24.84
1999-02-05,24.02
1999-02-12,23.85
1999-02-19,23.96
1999-02-26,23.95
1999-03-05,24.51
1999-03-12,24.88
1999-03-19,24.61
1999-03-26,24.28
1999-04-02,24.4
1999-04-09,25.33
1999-04-16,24.64
1999-04-23,25.23
1999-04-30,24.68
1999-05-07,24.77
1999-05-14,24.45
1999-05-21,24.18
1999-05-28,23.12
1999-06-04,23.6
1999-06-11,22.89
1999-06-18,23.63
1999-06-25,23.32
1999-07-02,24.44
1999-07-09,24.57
1999-07-16,24.8
1999-07-23,23.71
1999-07-30,23.15
1999-08-06,22.59
1999-08-13,22.96
1999-08-20,23.09
1999-08-27,23.31
1999-09-03,23.42
1999-09-10,23.27
1999-09-17,22.97
1999-09-24,22.77
1999-10-01,22.86
1999-10-08,23.78
1999-10-15,22.14
1999-10-22,23.11
1999-10-29,24.02
1999-11-05,24.08
1999-11-12,23.92
1999-11-19,24.02
1999-11-26,23.85
1999-12-03,24.11
1999-12-10,23.38
1999-12-17,23.49
1999-12-24,24.9
1999-12-31,25.12
2000-01-07,24.77
2000-01-14,25.15
2000-01-21,24.58
2000-01-28,23.12
2000-02-04,24.14
2000-02-11,23.44
2000-02-18,22.59
2000-02-25,22.33
2000-03-03,23.62
2000-03-10,23.27
2000-03-17,24.42
2000-03-24,25.24
2000-03-31,24.75
2000-04-07,25.18
2000-04-14,22.56
2000-04-21,23.63
2000-04-28,23.78
2000-05-05,23.39
2000-05-12,23.26
2000-05-19,23.19
2000-05-26,22.66
2000-06-02,23.72
2000-06-09,23.35
2000-06-16,23.29
2000-06-23,22.89
2000-06-30,23.06
2000-07-07,23.38
2000-07-14,23.55
2000-07-21,23.16
2000-07-28,22.29
2000-08-04,22.57
2000-08-11,22.67
2000-08-18,22.61
2000-08-25,22.79
2000-09-01,23.16
2000-09-08,22.96
2000-09-15,22.47
2000-09-22,22.41
2000-09-29,22.29
2000-10-06,21.91
2000-10-13,21.32
2000-10-20,21.71
2000-10-27,21.61
2000-11-03,22.28
2000-11-10,21.64
2000-11-17,21.78
2000-11-24,21.38
2000-12-01,20.94
2000-12-08,21.95
2000-12-15,21.12
2000-12-22,21.37
2000-12-29,21.64
2001-01-05,21.2
2001-01-12,21.36
2001-01-19,21.62
2001-01-26,22.0
2001-02-02,22.02
2001-02-09,21.51
2001-02-16,21.48
2001-02-23,20.61
2001-03-02,20.46
2001-03-09,20.51
2001-03-16,19.15
2001-03-23,19.03
2001-03-30,19.51
2001-04-06,19.03
2001-04-13,19.81
2001-04-20,21.01
2001-04-27,21.29
2001-05-04,21.53
2001-05-11,21.2
2001-05-18,22.0
2001-05-25,21.82
2001-06-01,21.62
2001-06-08,21.71
2001-06-15,20.82
2001-06-22,21.14
2001-06-29,21.02
2001-07-06,20.5
2001-07-13,21.0
2001-07-20,21.14
2001-07-27,21.04
2001-08-03,21.16
2001-08-10,20.81
2001-08-17,20.46
2001-08-24,20.84
2001-08-31,19.92
2001-09-07,19.15
2001-09-14,19.21
2001-09-21,17.16
2001-09-28,18.68
2001-10-05,19.52
2001-10-12,19.69
2001-10-19,19.55
2001-10-26,20.16
2001-11-02,19.9
2001-11-09,20.46
2001-11-16,20.81
2001-11-23,21.01
2001-11-30,20.89
2001-12-07,21.15
2001-12-14,20.6
2001-12-21,21.01
2001-12-28,21.27
2002-01-04,21.39
2002-01-11,20.82
2002-01-18,20.53
2002-01-25,20.55
2002-02-01,20.34
2002-02-08,19.81
2002-02-15,19.94
2002-02-22,19.66
2002-03-01,20.32
2002-03-08,20.77
2002-03-15,20.76
2002-03-22,20.42
2002-03-29,20.35
2002-04-05,19.89
2002-04-12,19.8
2002-04-19,19.94
2002-04-26,19.17
2002-05-03,18.91
2002-05-10,18.63
2002-05-17,19.52
2002-05-24,19.02
2002-05-31,18.67
2002-06-07,18.02
2002-06-14,17.69
2002-06-21,17.3
2002-06-28,17.29
2002-07-05,17.28
2002-07-12,16.09
2002-07-19,14.9
2002-07-26,15.23
2002-08-02,15.38
2002-08-09,16.14
2002-08-16,16.47
2002-08-23,16.6
2002-08-30,16.12
2002-09-06,15.72
2002-09-13,15.63
2002-09-20,14.94
2002-09-27,14.66
2002-10-04,14.29
2002-10-11,14.93
2002-10-18,15.89
2002-10-25,16.09
2002-11-01,16.2
2002-11-08,16.05
2002-11-15,16.32
2002-11-22,16.72
2002-11-29,16.8
2002-12-06,16.38
2002-12-13,15.96
2002-12-20,16.06
2002-12-27,15.62
2003-01-03,16.15
2003-01-10,16.42
2003-01-17,15.97
2003-01-24,15.28
2003-01-31,15.26
2003-02-07,14.83
2003-02-14,14.91
2003-02-21,15.09
2003-02-28,14.87
2003-03-07,14.66
2003-03-14,14.74
2003-03-21,15.8
2003-03-28,15.22
2003-04-04,15.52
2003-04-11,15.25
2003-04-18,15.68
2003-04-25,15.74
2003-05-02,16.26
2003-05-09,16.27
2003-05-16,16.37
2003-05-23,16.12
2003-05-30,16.6
2003-06-06,16.97
2003-06-13,16.93
2003-06-20,17.08
2003-06-27,16.74
2003-07-04,16.86
2003-07-11,17.02
2003-07-18,16.85
2003-07-25,16.83
2003-08-01,16.49
2003-08-08,16.4
2003-08-15,16.57
2003-08-22,16.65
2003-08-29,16.85
2003-09-05,17.0
2003-09-12,16.93
2003-09-19,17.18
2003-09-26,16.56
2003-10-03,17.04
2003-10-10,17.13
2003-10-17,17.07
2003-10-24,16.89
2003-10-31,17.19
2003-11-07,17.17
2003-11-14,17.12
2003-11-21,16.84
2003-11-28,17.14
2003-12-05,17.16
2003-12-12,17.31
2003-12-19,17.45
2003-12-26,17.48
2004-01-02,17.61
2004-01-09,17.7
2004-01-16,17.91
2004-01-23,17.83
2004-01-30,17.62
2004-02-06,17.72
2004-02-13,17.66
2004-02-20,17.59
2004-02-27,17.54
2004-03-05,17.7
2004-03-12,17.07
2004-03-19,16.81
2004-03-26,16.63
2004-04-02,17.03
2004-04-09,16.92
2004-04-16,16.78
2004-04-23,16.72
2004-04-30,16.11
2004-05-07,15.91
2004-05-14,15.8
2004-05-21,15.69
2004-05-28,15.97
2004-06-04,15.93
2004-06-11,16.08
2004-06-18,15.94
2004-06-25,15.88
2004-07-02,15.72
2004-07-09,15.51
2004-07-16,15.31
2004-07-23,15.04
2004-07-30,15.19
2004-08-06,14.71
2004-08-13,14.73
2004-08-20,15.08
2004-08-27,15.17
2004-09-03,15.24
2004-09-10,15.32
2004-09-17,15.35
2004-09-24,15.07
2004-10-01,15.33
2004-10-08,15.12
2004-10-15,14.92
2004-10-22,14.72
2004-10-29,15.1
2004-11-05,15.56
2004-11-12,15.77
2004-11-19,15.49
2004-11-26,15.57
2004-12-03,15.63
2004-12-10,15.46
2004-12-17,15.54
2004-12-24,15.82
2004-12-31,15.79
2005-01-07,15.45
2005-01-14,15.43
2005-01-21,15.21
2005-01-28,15.26
2005-02-04,15.67
2005-02-11,15.7
2005-02-18,15.65
2005-02-25,15.78
2005-03-04,15.92
2005-03-11,15.63
2005-03-18,15.5
