Date,AllocationPct,WRaw,SPX,ATH,DrawdownPct,EstimatedForwardPE,ForwardEPS,ForwardEPSConsensusDate,EPSRevision3M,RealYield,CushionPct,V,D,CreditPeakMultiplier,DEffective,Opportunity,HYOAS,HYOAS20DChangeBp,HYOAS3MChangeBp,SLOOS,SLOOSQoQ,CreditGap,EarningsPenalty,CrisisScore,REffective,R15,BubbleGate,UpdatedAt,ModelVersion
2026-08-21,100.0,100.0,7674.3701171875,7798.990234375,1.597900669733136,19.991885941371223,383.8742447657803,2026-08-05,0.0979789067244989,2.4,2.6020293379655555,0.4408117351862222,0.0532633556577712,0.5,0.0266316778288856,0.2958487151111543,2.75,-2.0000000000000018,-4.999999999999982,0.0,-8.1,-11.5378,0.0,0.0,0.0,,0,2026-08-22T23:54:14-04:00,V3.2-Alpha
2026-08-24,100.0,100.0,7652.85986328125,7798.990234375,1.8737088610479675,19.9358513045089,383.8742447657803,2026-08-05,0.0979789067244989,2.38,2.6360887775774566,0.4544355110309827,0.0624569620349322,0.5,0.0312284810174661,0.3063130505262519,2.75,-2.0000000000000018,-4.999999999999982,0.0,-8.1,-11.5378,0.0,0.0,0.0,,0,2026-08-24T16:42:21-04:00,V3.2-Alpha
2026-08-25,100.0,100.0,7677.27978515625,7798.990234375,1.5605924044153352,19.999465683978144,383.8742447657803,2026-08-05,0.0979789067244989,2.32,2.68013358257423,0.4720534330296919,0.0520197468138445,0.5,0.0260098734069222,0.3159381871617225,2.7,-8.999999999999986,-7.999999999999963,0.0,-8.1,-11.5378,0.0,0.0,0.0,,0,2026-08-25T16:39:40-04:00,V3.2-Alpha
2026-08-26,100.0,100.0,7675.7001953125,7798.990234375,1.5808461782537455,19.995350821193554,383.8742447657803,2026-08-05,0.0979789067244989,2.34,2.661162564950228,0.4644650259800912,0.0526948726084581,0.5,0.026347436304229,0.3111238695935395,2.69,-12.00000000000001,-5.000000000000027,0.0,-8.1,-11.5378,0.0,0.0,0.0,,0,2026-08-26T20:27:36-04:00,V3.2-Alpha
2026-08-27,100.0,100.0,7730.990234375,7798.990234375,0.8719077464705842,20.13938246649509,383.8742447657803,2026-08-05,0.0979789067244989,2.34,2.62539554608316,0.4501582184332641,0.0290635915490194,0.5,0.0145317957745097,0.2976889705027001,2.67,-20.000000000000018,-5.000000000000027,0.0,-8.1,-11.5378,0.0,0.0,0.0,,0,2026-08-27T19:03:21-04:00,V3.2-Alpha
2026-08-28,100.0,100.0,7711.759765625,7798.990234375,1.1184841386968414,20.0892867150551,383.8742447657803,2026-08-05,0.0979789067244989,2.42,2.557777529804434,0.4231110119217735,0.037282804623228,0.5,0.018641402311614,0.2815466485582177,2.63,-21.0,-8.000000000000007,0.0,-8.1,-11.5378,0.0,0.0,0.0,,0,2026-08-28T22:44:17-04:00,V3.2-Alpha
2026-08-31,100.0,100.0,7686.14013671875,7798.990234375,1.4469834461242104,20.022547075041267,383.8742447657803,2026-08-05,0.0979789067244989,2.44,2.554369578716244,0.4217478314864974,0.0482327815374736,0.5,0.0241163907687368,0.2825768272352812,2.6,-25.0,-12.00000000000001,0.0,-8.1,-11.5378,0.0,0.0,0.0,,0,2026-09-01T00:50:38-04:00,V3.2-Alpha
2026-09-01,100.0,100.0,7631.47021484375,7798.990234375,2.1479706282088302,19.88013084727804,383.8742447657803,2026-08-05,0.0979789067244989,2.44,2.590147978814328,0.4360591915257311,0.0715990209402943,0.5,0.0357995104701471,0.2959683031562767,2.63,-14.999999999999991,-11.000000000000032,0.0,-8.1,-11.5378,0.0,0.0,0.0,,0,2026-09-02T00:11:38-04:00,V3.2-Alpha
2026-09-02,100.0,100.0,7666.60009765625,7798.990234375,1.697529202373204,19.97164488681444,383.8742447657803,2026-08-05,0.0979789067244989,2.45,2.557098842720832,0.4228395370883326,0.0565843067457734,0.5,0.0282921533728867,0.2847479527879266,2.65,-8.000000000000007,-7.000000000000028,0.0,-8.1,-11.5378,0.0,0.0,0.0,,0,2026-09-03T00:07:43-04:00,V3.2-Alpha
2026-09-03,100.0,100.0,7747.7099609375,7798.990234375,0.6575245242836174,20.1829376848784,383.8742447657803,2026-08-05,0.0979789067244989,2.42,2.5346801145267728,0.4138720458107091,0.0219174841427872,0.5,0.0109587420713936,0.2728523895019487,2.66,-8.999999999999986,-4.999999999999982,0.0,-8.1,-11.5378,0.0,0.0,0.0,,0,2026-09-04T00:14:26-04:00,V3.2-Alpha
2026-09-04,100.0,100.0,7718.60009765625,7798.990234375,1.0307762197780512,20.107105915286738,383.8742447657803,2026-08-05,0.0979789067244989,2.43,2.5433661533047105,0.4173464613218842,0.034359207325935,0.5,0.0171796036629675,0.2772880611412633,2.65,-6.000000000000005,-10.000000000000009,0.0,-8.1,-11.5378,0.0,0.0,0.0,,0,2026-09-08T00:18:23-04:00,V3.2-Alpha
2026-09-08,100.0,100.0,7673.52001953125,7798.990234375,1.608800768729325,19.9896714201632,383.8742447657803,2026-08-05,0.0979789067244989,2.43,2.5725834791427293,0.4290333916570917,0.0536266922909775,0.5,0.0268133461454887,0.2882563757280307,2.68,-2.0000000000000018,-7.999999999999963,0.0,-8.1,-11.5378,0.0,0.0,0.0,,0,2026-09-09T00:24:06-04:00,V3.2-Alpha
2026-09-09,100.0,100.0,7636.35986328125,7798.990234375,2.085274711294506,19.89286847816673,383.8742447657803,2026-08-05,0.0979789067244989,2.46,2.56692711761274,0.4267708470450959,0.0695091570431502,0.5,0.0347545785215751,0.2895651530618636,2.67,-5.000000000000027,-8.000000000000007,0.0,-8.1,-11.5378,0.0,0.0,0.0,,0,2026-09-10T00:21:40-04:00,V3.2-Alpha
2026-09-10,100.0,100.0,7591.7001953125,7798.990234375,2.657908688599761,19.776529159815222,383.8742447657803,2026-08-05,0.0979789067244989,2.55,2.50649900404133,0.4025996016165322,0.0885969562866587,0.5,0.0442984781433293,0.2771942084009112,2.71,0.0,-6.999999999999984,0.0,-8.1,-11.5378,0.0,0.0,0.0,,0,2026-09-11T00:21:13-04:00,V3.2-Alpha
